seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType
chr1	1403	1452	50	*	14	44	0.318181818181818	5	40	0.125	5	CHG	-1	0.0405920654872353	loss
chr1	35253	35302	50	*	45	69	0.652173913043478	47	56	0.839285714285714	3	CHG	1	0.0275847823836654	gain
chr1	101703	101752	50	*	46	205	0.224390243902439	84	189	0.444444444444444	6	CHG	1	2.58516585770802e-05	gain
chr1	103603	103652	50	*	2	66	0.0303030303030303	12	62	0.193548387096774	3	CHG	1	0.00685008017513365	gain
chr1	105153	105202	50	*	36	144	0.25	46	113	0.407079646017699	4	CHG	1	0.0144198243719445	gain
chr1	105753	106252	500	*	591	721	0.819694868238558	566	904	0.626106194690266	24	CHG	-1	3.97354141740321e-16	loss
chr1	111853	111902	50	*	57	116	0.491379310344828	15	132	0.113636363636364	3	CHG	-1	1.14157776614507e-09	loss
chr1	143753	143802	50	*	129	234	0.551282051282051	233	330	0.706060606060606	6	CHG	1	0.000629011322289565	gain
chr1	218253	218302	50	*	5	124	0.0403225806451613	40	137	0.291970802919708	4	CHG	1	3.01226913138935e-07	gain
chr1	218803	218852	50	*	64	137	0.467153284671533	28	135	0.207407407407407	5	CHG	-1	4.08589827218919e-05	loss
chr1	251453	251502	50	*	56	145	0.386206896551724	73	122	0.598360655737705	4	CHG	1	0.00164721159076263	gain
chr1	278103	278152	50	*	17	96	0.177083333333333	2	111	0.018018018018018	3	CHG	-1	0.00026568083896275	loss
chr1	302453	302502	50	*	48	90	0.533333333333333	64	89	0.719101123595506	4	CHG	1	0.017538499532234	gain
chr1	346903	346952	50	*	48	107	0.448598130841121	92	135	0.681481481481481	4	CHG	1	0.00114973420043574	gain
chr1	405053	405102	50	*	20	61	0.327868852459016	9	67	0.134328358208955	3	CHG	-1	0.0154345437763191	loss
chr1	458153	458202	50	*	11	164	0.0670731707317073	60	133	0.451127819548872	5	CHG	1	2.42530556943782e-13	gain
chr1	466653	466702	50	*	3	91	0.032967032967033	25	85	0.294117647058824	4	CHG	1	1.34701270657052e-05	gain
chr1	468353	468402	50	*	4	78	0.0512820512820513	23	110	0.209090909090909	4	CHG	1	0.00524597475758481	gain
chr1	476103	476152	50	*	8	253	0.0316205533596838	65	242	0.268595041322314	8	CHG	1	5.05526672820281e-13	gain
chr1	477203	477252	50	*	30	69	0.434782608695652	69	103	0.669902912621359	3	CHG	1	0.00547178755452255	gain
chr1	478653	478702	50	*	45	104	0.432692307692308	93	142	0.654929577464789	4	CHG	1	0.0018624113562239	gain
