seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType
chr1	41453	41502	50	*	103	158	0.651898734177215	171	202	0.846534653465347	4	CG	1	4.67159772677967e-05	gain
chr1	62153	62202	50	*	120	154	0.779220779220779	86	148	0.581081081081081	4	CG	-1	0.000506571979066211	loss
chr1	67753	67802	50	*	86	140	0.614285714285714	67	157	0.426751592356688	4	CG	-1	0.00218735015620908	loss
chr1	77753	77802	50	*	59	160	0.36875	21	150	0.14	4	CG	-1	1.19050599024228e-05	loss
chr1	89203	89252	50	*	1	82	0.0121951219512195	16	71	0.225352112676056	4	CG	1	6.1038998855815e-05	gain
chr1	91853	91902	50	*	115	138	0.833333333333333	71	131	0.541984732824427	4	CG	-1	8.67081725269135e-07	loss
chr1	108703	108752	50	*	82	170	0.482352941176471	124	186	0.666666666666667	4	CG	1	0.000854905437379512	gain
chr1	111953	112002	50	*	49	163	0.300613496932515	67	139	0.482014388489209	4	CG	1	0.00186491719168057	gain
chr1	118453	118502	50	*	217	283	0.76678445229682	199	216	0.921296296296296	6	CG	1	8.50551719268914e-06	gain
chr1	126603	127152	550	*	691	849	0.813898704358068	686	707	0.97029702970297	22	CG	1	1.73365392091759e-22	gain
chr1	129953	130002	50	*	57	153	0.372549019607843	94	154	0.61038961038961	4	CG	1	7.9033671981135e-05	gain
chr1	151903	151952	50	*	15	50	0.3	3	38	0.0789473684210526	3	CG	-1	0.0161924657312574	loss
chr1	156753	156802	50	*	90	161	0.559006211180124	53	228	0.232456140350877	6	CG	-1	8.42604441349947e-10	loss
chr1	242253	242302	50	*	99	131	0.755725190839695	75	138	0.543478260869565	4	CG	-1	0.000537608639151573	loss
chr1	242553	242602	50	*	29	82	0.353658536585366	63	111	0.567567567567568	4	CG	1	0.00444472806528528	gain
chr1	244653	244702	50	*	1	111	0.00900900900900901	21	87	0.241379310344828	4	CG	1	4.27814015122806e-07	gain
chr1	251353	251402	50	*	100	145	0.689655172413793	157	165	0.951515151515152	4	CG	1	5.18788860742587e-09	gain
chr1	263953	264002	50	*	331	379	0.87335092348285	227	320	0.709375	10	CG	-1	3.95035202092775e-07	loss
chr1	265253	265302	50	*	63	105	0.6	40	143	0.27972027972028	4	CG	-1	2.05138963853949e-06	loss
chr1	269953	270002	50	*	57	60	0.95	43	55	0.781818181818182	4	CG	-1	0.0120508810700772	loss
chr1	274153	274202	50	*	31	106	0.292452830188679	8	95	0.0842105263157895	4	CG	-1	0.000289767040191768	loss
chr1	291553	291602	50	*	15	158	0.0949367088607595	46	136	0.338235294117647	4	CG	1	1.09239404936795e-06	gain
chr1	299203	299252	50	*	18	97	0.185567010309278	2	143	0.013986013986014	4	CG	-1	7.28256829497802e-06	loss
chr1	312003	312052	50	*	138	285	0.484210526315789	49	163	0.300613496932515	8	CG	-1	0.00026844103993487	loss
chr1	312253	312302	50	*	218	263	0.828897338403042	148	220	0.672727272727273	8	CG	-1	0.000145473012645755	loss
chr1	315853	315902	50	*	201	275	0.730909090909091	356	385	0.924675324675325	10	CG	1	2.32122996804461e-10	gain
chr1	339853	339902	50	*	45	109	0.412844036697248	71	114	0.62280701754386	4	CG	1	0.00264852728442263	gain
chr1	349753	349802	50	*	111	150	0.74	165	173	0.953757225433526	4	CG	1	2.49042741625174e-07	gain
chr1	351153	351202	50	*	78	165	0.472727272727273	31	150	0.206666666666667	4	CG	-1	9.33634496115211e-07	loss
chr1	351503	351652	150	*	83	256	0.32421875	184	261	0.704980842911877	8	CG	1	2.75395898511349e-18	gain
chr1	354953	355002	50	*	33	132	0.25	90	189	0.476190476190476	4	CG	1	8.73321429190297e-05	gain
