seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType
chr1	306903	307002	100	*	345	542	0.636531365313653	197	416	0.473557692307692	23	CHH	-1	4.21309565472491e-06	loss
chr1	307103	307152	50	*	88	200	0.44	123	192	0.640625	10	CHH	1	0.000203430763997731	gain
chr1	400403	400452	50	*	191	281	0.679715302491103	105	227	0.462555066079295	10	CHH	-1	6.45586930902347e-06	loss
chr1	491753	491802	50	*	44	307	0.143322475570033	74	222	0.333333333333333	10	CHH	1	2.55300684653379e-06	gain
chr1	535253	535302	50	*	134	226	0.592920353982301	167	222	0.752252252252252	7	CHH	1	0.000762253399190008	gain
chr1	568503	568552	50	*	221	386	0.572538860103627	187	444	0.421171171171171	15	CHH	-1	5.80743063483018e-05	loss
chr1	595553	595602	50	*	50	288	0.173611111111111	97	239	0.405857740585774	11	CHH	1	7.53168756117821e-08	gain
chr1	610803	610852	50	*	107	314	0.340764331210191	59	338	0.174556213017751	14	CHH	-1	9.68885730251953e-06	loss
chr1	627253	627302	50	*	121	284	0.426056338028169	202	350	0.577142857142857	13	CHH	1	0.000384732318708031	gain
chr1	658903	658952	50	*	8	95	0.0842105263157895	22	90	0.244444444444444	5	CHH	1	0.00563762486652627	gain
chr1	772603	772652	50	*	118	186	0.634408602150538	87	110	0.790909090909091	13	CHH	1	0.00707456411517912	gain
chr1	866303	866352	50	*	40	127	0.31496062992126	50	95	0.526315789473684	4	CHH	1	0.00307824695797968	gain
chr1	1042853	1042902	50	*	91	323	0.281733746130031	114	245	0.46530612244898	16	CHH	1	3.91194709476422e-05	gain
chr1	1051903	1051952	50	*	133	233	0.570815450643777	60	149	0.402684563758389	10	CHH	-1	0.00231704394309853	loss
chr1	1065353	1065402	50	*	33	140	0.235714285714286	39	101	0.386138613861386	10	CHH	1	0.0162779134753125	gain
chr1	1125003	1125052	50	*	168	320	0.525	72	192	0.375	13	CHH	-1	0.00156950327411609	loss
chr1	1181703	1181752	50	*	44	174	0.252873563218391	69	167	0.413173652694611	7	CHH	1	0.00262440230246654	gain
