seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType
chr1	41603	41652	50	*	64	208	0.307692307692308	36	234	0.153846153846154	6	CHG	-1	0.000490622211195992	loss
chr1	87953	88002	50	*	45	284	0.158450704225352	67	197	0.34010152284264	7	CHG	1	3.03693855760088e-05	gain
chr1	97403	97452	50	*	34	75	0.453333333333333	14	71	0.197183098591549	3	CHG	-1	0.00290613039899991	loss
chr1	111853	111902	50	*	58	110	0.527272727272727	21	141	0.148936170212766	3	CHG	-1	2.5240817227813e-09	loss
chr1	143703	143902	200	*	210	691	0.303907380607815	353	638	0.553291536050157	16	CHG	1	2.12288021859427e-18	gain
chr1	187053	187102	50	*	97	204	0.475490196078431	121	187	0.647058823529412	4	CHG	1	0.00177587098062974	gain
chr1	211603	211652	50	*	25	92	0.271739130434783	11	98	0.112244897959184	4	CHG	-1	0.00859018856695735	loss
chr1	218253	218302	50	*	16	154	0.103896103896104	34	126	0.26984126984127	4	CHG	1	0.00121398074582783	gain
chr1	218803	218852	50	*	66	160	0.4125	28	177	0.15819209039548	5	CHG	-1	1.99978218779271e-06	loss
chr1	224253	224302	50	*	132	223	0.591928251121076	170	220	0.772727272727273	7	CHG	1	0.000178332914254025	gain
chr1	251453	251502	50	*	60	162	0.37037037037037	75	144	0.520833333333333	4	CHG	1	0.0146219351287548	gain
chr1	347353	347402	50	*	24	110	0.218181818181818	3	114	0.0263157894736842	4	CHG	-1	3.48131767356715e-05	loss
chr1	461203	461252	50	*	13	170	0.0764705882352941	78	188	0.414893617021277	4	CHG	1	1.4978874116501e-12	gain
chr1	469153	469202	50	*	30	98	0.306122448979592	45	91	0.494505494505495	3	CHG	1	0.0148376536985007	gain
chr1	478653	478702	50	*	47	121	0.388429752066116	112	162	0.691358024691358	4	CHG	1	4.16325085903698e-06	gain
chr1	478853	478902	50	*	74	115	0.643478260869565	137	169	0.810650887573965	4	CHG	1	0.00418418174771811	gain
chr1	498503	498552	50	*	9	80	0.1125	31	95	0.326315789473684	3	CHG	1	0.000999878137660315	gain
chr1	498853	498902	50	*	35	63	0.555555555555556	71	82	0.865853658536585	3	CHG	1	5.19117081162754e-05	gain
chr1	623903	623952	50	*	120	153	0.784313725490196	134	218	0.614678899082569	5	CHG	-1	0.0015304091800468	loss
chr1	654103	654152	50	*	53	110	0.481818181818182	50	165	0.303030303030303	4	CHG	-1	0.00583802080502666	loss
chr1	716653	716702	50	*	2	60	0.0333333333333333	29	109	0.26605504587156	3	CHG	1	0.000380292694529609	gain
chr1	763953	764002	50	*	29	126	0.23015873015873	9	189	0.0476190476190476	4	CHG	-1	1.13925414520644e-05	loss
chr1	843353	843402	50	*	39	148	0.263513513513513	83	130	0.638461538461538	4	CHG	1	6.2689191510513e-09	gain
chr1	848153	848202	50	*	33	150	0.22	58	141	0.411347517730496	4	CHG	1	0.00146354155306515	gain
chr1	848553	848602	50	*	17	161	0.105590062111801	56	181	0.30939226519337	6	CHG	1	2.75262766072872e-05	gain
chr1	850003	850052	50	*	132	250	0.528	148	212	0.69811320754717	7	CHG	1	0.000596169949564439	gain
chr1	892653	892702	50	*	26	102	0.254901960784314	45	88	0.511363636363636	4	CHG	1	0.000863158279691835	gain
chr1	919703	919752	50	*	68	324	0.209876543209877	130	333	0.39039039039039	8	CHG	1	3.61570758235693e-06	gain
chr1	925403	925452	50	*	43	124	0.346774193548387	76	146	0.520547945205479	4	CHG	1	0.00750657195688704	gain
chr1	1054803	1054852	50	*	44	100	0.44	26	95	0.273684210526316	3	CHG	-1	0.0209554501458338	loss
chr1	1271903	1271952	50	*	20	175	0.114285714285714	46	164	0.280487804878049	4	CHG	1	0.000384333261605246	gain
chr1	1412303	1412352	50	*	62	109	0.568807339449541	53	131	0.404580152671756	4	CHG	-1	0.0173676798212997	loss
chr1	1511253	1511302	50	*	40	87	0.459770114942529	39	128	0.3046875	4	CHG	-1	0.0252726261360692	loss
chr1	1543353	1543402	50	*	40	115	0.347826086956522	69	128	0.5390625	4	CHG	1	0.00535530256423186	gain
chr1	1563903	1563952	50	*	18	94	0.191489361702128	6	179	0.0335195530726257	5	CHG	-1	0.000190633171818477	loss
chr1	1663853	1663902	50	*	11	112	0.0982142857142857	31	113	0.274336283185841	4	CHG	1	0.00220620177678316	gain
chr1	1675153	1675202	50	*	45	86	0.523255813953488	73	103	0.70873786407767	3	CHG	1	0.0140254610872542	gain
chr1	1781603	1781652	50	*	28	88	0.318181818181818	13	97	0.134020618556701	3	CHG	-1	0.00685963119366091	loss
chr1	1808053	1808102	50	*	25	158	0.158227848101266	78	197	0.395939086294416	5	CHG	1	4.95445168419386e-06	gain
chr1	1845703	1845752	50	*	72	126	0.571428571428571	118	162	0.728395061728395	4	CHG	1	0.00894976720305191	gain
chr1	1876053	1876102	50	*	56	130	0.430769230769231	25	135	0.185185185185185	4	CHG	-1	7.8649201500544e-05	loss
chr1	1924703	1924752	50	*	27	63	0.428571428571429	65	108	0.601851851851852	3	CHG	1	0.039129208255372	gain
chr1	1995803	1995852	50	*	34	91	0.373626373626374	1	88	0.0113636363636364	4	CHG	-1	1.1625957225306e-09	loss
chr1	2070003	2070052	50	*	71	90	0.788888888888889	69	124	0.556451612903226	4	CHG	-1	0.00118478202100659	loss
chr1	2108653	2108702	50	*	47	88	0.534090909090909	74	107	0.691588785046729	4	CHG	1	0.0294224808887261	gain
chr1	2109953	2110002	50	*	18	115	0.156521739130435	38	117	0.324786324786325	4	CHG	1	0.00585738702435968	gain
chr1	2135203	2135252	50	*	50	58	0.862068965517241	54	81	0.666666666666667	3	CHG	-1	0.0135753177383255	loss
chr1	2228253	2228302	50	*	63	87	0.724137931034483	58	103	0.563106796116505	3	CHG	-1	0.0268574050663927	loss
chr1	2239353	2239402	50	*	19	153	0.124183006535948	55	159	0.345911949685535	4	CHG	1	2.51772839599425e-05	gain
chr1	2383203	2383252	50	*	32	80	0.4	27	139	0.194244604316547	4	CHG	-1	0.0029862708355037	loss
chr1	2411753	2411802	50	*	41	52	0.788461538461538	46	49	0.938775510204082	4	CHG	1	0.0423501688398643	gain
chr1	2418753	2418802	50	*	50	163	0.306748466257669	28	206	0.135922330097087	6	CHG	-1	0.000343451607607916	loss
chr1	2466103	2466152	50	*	32	72	0.444444444444444	57	86	0.662790697674419	3	CHG	1	0.00964302475866795	gain
chr1	2489603	2489652	50	*	39	91	0.428571428571429	63	101	0.623762376237624	4	CHG	1	0.0124958686614053	gain
chr1	2569003	2569052	50	*	61	91	0.67032967032967	71	84	0.845238095238095	3	CHG	1	0.0118399013247273	gain
chr1	2609653	2609702	50	*	10	196	0.0510204081632653	60	232	0.258620689655172	6	CHG	1	3.52531341489772e-08	gain
chr1	2757653	2757702	50	*	0	26	0	8	30	0.266666666666667	3	CHG	1	0.00813613813005882	gain
chr1	2807953	2808002	50	*	8	122	0.0655737704918033	45	137	0.328467153284672	4	CHG	1	7.44755920524804e-07	gain
chr1	2828753	2828802	50	*	6	135	0.0444444444444444	36	165	0.218181818181818	4	CHG	1	4.41022236556623e-05	gain
chr1	2876803	2876852	50	*	30	58	0.517241379310345	25	80	0.3125	4	CHG	-1	0.0249369707063823	loss
chr1	2887703	2887752	50	*	109	188	0.579787234042553	76	177	0.429378531073446	7	CHG	-1	0.00747506669770122	loss
chr1	2968503	2968552	50	*	29	49	0.591836734693878	33	91	0.362637362637363	3	CHG	-1	0.0160052361063896	loss
chr1	3036903	3036952	50	*	75	140	0.535714285714286	100	137	0.72992700729927	4	CHG	1	0.00248551908608055	gain
chr1	3039103	3039152	50	*	42	92	0.456521739130435	49	73	0.671232876712329	5	CHG	1	0.0106484750184633	gain
chr1	3043053	3043102	50	*	33	159	0.207547169811321	4	147	0.0272108843537415	3	CHG	-1	5.06793970995442e-06	loss
chr1	3052353	3052402	50	*	79	120	0.658333333333333	41	120	0.341666666666667	4	CHG	-1	9.62926478825743e-06	loss
chr1	3053403	3053452	50	*	89	168	0.529761904761905	72	205	0.351219512195122	4	CHG	-1	0.00175624995594707	loss
chr1	3057903	3057952	50	*	58	100	0.58	25	78	0.320512820512821	3	CHG	-1	0.00188426765266667	loss
chr1	3075953	3076002	50	*	94	138	0.681159420289855	92	110	0.836363636363636	4	CHG	1	0.00810501513568471	gain
chr1	3076803	3076852	50	*	51	110	0.463636363636364	80	116	0.689655172413793	3	CHG	1	0.00172244597374993	gain
chr1	3077053	3077102	50	*	47	215	0.218604651162791	94	199	0.472361809045226	6	CHG	1	5.59996300175081e-07	gain
chr1	3077353	3077402	50	*	49	167	0.293413173652695	20	140	0.142857142857143	3	CHG	-1	0.00326008861475529	loss
