seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType
chr1	24653	24702	50	*	104	143	0.727272727272727	96	105	0.914285714285714	4	CG	1	0.000261875527228298	gain
chr1	24803	24852	50	*	71	102	0.696078431372549	43	96	0.447916666666667	4	CG	-1	0.000722589173558844	loss
chr1	62153	62202	50	*	130	163	0.797546012269939	82	160	0.5125	4	CG	-1	2.18213357911107e-07	loss
chr1	67753	67802	50	*	156	228	0.684210526315789	85	172	0.494186046511628	4	CG	-1	0.000208995934346823	loss
chr1	77753	77802	50	*	57	146	0.39041095890411	31	171	0.181286549707602	4	CG	-1	8.47171113487695e-05	loss
chr1	89203	89252	50	*	2	101	0.0198019801980198	22	106	0.207547169811321	4	CG	1	2.83674923567467e-05	gain
chr1	118403	118452	50	*	1	137	0.0072992700729927	24	143	0.167832167832168	4	CG	1	1.77494541249701e-06	gain
chr1	126803	126852	50	*	101	150	0.673333333333333	112	123	0.910569105691057	4	CG	1	4.24257812847257e-06	gain
chr1	128603	128652	50	*	136	169	0.804733727810651	133	134	0.992537313432836	4	CG	1	7.1311378115915e-08	gain
chr1	129953	130002	50	*	71	174	0.408045977011494	72	124	0.580645161290323	4	CG	1	0.00522240344346797	gain
chr1	156753	156802	50	*	108	205	0.526829268292683	101	272	0.371323529411765	6	CG	-1	0.00103030805888643	loss
chr1	232603	232652	50	*	69	122	0.565573770491803	39	121	0.322314049586777	3	CG	-1	0.000260929624811194	loss
chr1	232803	232852	50	*	96	160	0.6	73	168	0.43452380952381	4	CG	-1	0.00339054170209106	loss
chr1	242253	242302	50	*	104	149	0.697986577181208	70	143	0.48951048951049	4	CG	-1	0.000477202635523414	loss
chr1	242553	242602	50	*	48	132	0.363636363636364	53	102	0.519607843137255	4	CG	1	0.0239595417358316	gain
chr1	251353	251402	50	*	152	206	0.737864077669903	142	155	0.916129032258065	4	CG	1	2.08185504979407e-05	gain
chr1	265253	265302	50	*	96	171	0.56140350877193	30	100	0.3	4	CG	-1	5.60046398226008e-05	loss
chr1	269953	270002	50	*	95	97	0.979381443298969	54	67	0.805970149253731	4	CG	-1	0.00028907204714453	loss
chr1	274153	274202	50	*	54	182	0.296703296703297	17	128	0.1328125	4	CG	-1	0.00115731864346751	loss
chr1	274703	274752	50	*	108	192	0.5625	101	139	0.726618705035971	4	CG	1	0.00309881490216552	gain
chr1	306053	306102	50	*	15	290	0.0517241379310345	49	238	0.205882352941176	4	CG	1	2.5421836696536e-07	gain
chr1	307603	307652	50	*	85	164	0.518292682926829	68	99	0.686868686868687	4	CG	1	0.0103262917386409	gain
chr1	315853	315902	50	*	356	513	0.693957115009747	360	394	0.913705583756345	10	CG	1	2.34728637361732e-15	gain
chr1	349753	349802	50	*	134	182	0.736263736263736	163	177	0.92090395480226	4	CG	1	6.85559528336429e-06	gain
chr1	351153	351202	50	*	66	151	0.437086092715232	31	109	0.284403669724771	4	CG	-1	0.0142546721892455	loss
chr1	351603	351652	50	*	43	182	0.236263736263736	86	151	0.56953642384106	4	CG	1	3.88780698791035e-09	gain
chr1	354953	355002	50	*	44	161	0.273291925465839	56	117	0.478632478632479	4	CG	1	0.000802858455015496	gain
chr1	379503	379552	50	*	139	150	0.926666666666667	68	89	0.764044943820225	4	CG	-1	0.000852515530110558	loss
chr1	393103	393152	50	*	174	417	0.41726618705036	192	325	0.590769230769231	8	CG	1	7.00019161548059e-06	gain
chr1	404953	405002	50	*	23	44	0.522727272727273	8	38	0.210526315789474	4	CG	-1	0.00636847020355027	loss
chr1	424303	424352	50	*	39	170	0.229411764705882	9	177	0.0508474576271186	4	CG	-1	3.69419146518053e-06	loss
chr1	459003	459052	50	*	153	159	0.962264150943396	124	156	0.794871794871795	4	CG	-1	7.96083652408513e-06	loss
chr1	513053	513102	50	*	85	174	0.488505747126437	117	155	0.754838709677419	4	CG	1	2.36269553902981e-06	gain
chr1	527453	527502	50	*	99	129	0.767441860465116	99	107	0.925233644859813	4	CG	1	0.00147024012183383	gain
chr1	558853	558902	50	*	123	191	0.643979057591623	164	201	0.81592039800995	6	CG	1	0.000235269447750926	gain
chr1	588103	588152	50	*	18	200	0.09	41	161	0.254658385093168	4	CG	1	5.23357901971023e-05	gain
chr1	603003	603052	50	*	88	159	0.553459119496855	133	187	0.711229946524064	4	CG	1	0.00294062533616709	gain
chr1	621903	621952	50	*	131	155	0.845161290322581	83	154	0.538961038961039	6	CG	-1	2.0934376996091e-08	loss
chr1	625403	625452	50	*	23	111	0.207207207207207	29	81	0.358024691358025	4	CG	1	0.0228630871200578	gain
chr1	626553	626602	50	*	112	141	0.794326241134752	100	104	0.961538461538462	4	CG	1	0.000163985896620255	gain
